etapa,manzana,lote,ubicacion_casa,area_total,costo_terreno_m2,costo_construccion_m2,,modulo_m2,,,aplica_calle,aplica_parque,,,bono,,,,,,,,,,,,,,,,
PRIMERA,E,6,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,7,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242",INICIAL DE 5000,"S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,8,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,9,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,10,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,11,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,12,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,13,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,14,ESPECIAL,90.39,600,1697,54234,50.6,85868,140102,,5604,"S/ 145,706","S/ 160,277",46545,"S/ 99,161","S/ 113,732",INICIAL DE 5000,"S/ 119,732","S/ 118,732","S/ 117,732","S/ 12,112","S/ 16,647",,,,,,,,
PRIMERA,E,15,NORMAL,90.16,600,1697,54096,50.6,85868,139964,,,"S/ 139,964","S/ 153,961",46545,"S/ 93,419","S/ 107,416","S/ 114,416","S/ 113,416","S/ 112,416","S/ 111,416","S/ 12,081","S/ 16,647",,,,,,,,
PRIMERA,F,1,ESPECIAL,114.35,600,1697,68610,50.6,85868,154478,,,"S/ 154,478","S/ 169,926",46545,"S/ 107,933","S/ 123,381",INICIAL DE 5000,"S/ 129,381","S/ 128,381","S/ 127,381","S/ 15,323","S/ 16,647",,,,,,,,
PRIMERA,F,2,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,3,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,4,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,5,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
